"sequence_id","lengths","values"
"moe5hm64","7962","0"
"90qvaarn","8048","0"
"szkaatni","7969","0"
"q99sfr5y","8037","0"
"gzn4vk4x","7969","0"
"wtyc96x1","2644","0"
"fknmbg4t","1794","0"
"k62775wm","2614","0"
"kaz4vswr","2678","0"
"nfs8qzle","1359","0"
"roxtz4fg","9718","0"
"l70dfwqp","6279","0"
"9w2svmwo","2577","0"
"3bxrc090","2605","0"
"1stu3nvp","3406","0"
"pertx8wm","7687","0"
"50cw9j92","1367","0"
"zzhuh98x","2608","0"
"nvuq6hf2","2578","0"
"oj4s7rw8","2800","0"
"nsc859hh","2760","0"
"ptwvg9vn","7757","0"
"goe84a5o","2708","0"
"ea7kfbn7","2647","0"
"tlhsk1z9","2642","0"
"y3ty82by","2585","0"
"pqezhoch","2939","0"
"3uitvnfb","3439","0"
"wtf6ecje","2310","0"
"gvbnhvp2","1372","0"
"c811en1q","2676","0"
"l7ly91me","8082","0"
"xiibs3a4","9324","0"
"ciyq27sg","3418","0"
"o7t2bu6p","6878","0"
"jkyoif0o","2668","0"
"jky3jk2e","2637","0"
"f0voxwmf","2679","0"
"3qds5949","2687","0"
"4xqqks4a","14028","0"
"2iogxz48","3241","0"
"ur6e3eq7","2244","0"
"b6ipzgm8","2810","0"
"jvao39qv","2762","0"
"dgcs8fva","8898","0"
"evhe7jlr","8898","0"
"ovc1eihy","8902","0"
"vnsa1ymy","8907","0"
"umrrv38v","8832","0"
"pjuqmqg4","5952","0"
"hh3npohj","5972","0"
"py68hyk1","5986","0"
"xyka6esz","5985","0"
"3l36x61a","5963","0"
"xad9dwhu","5986","0"
"gvkne970","5953","0"
"lsjahb8d","2578","0"
"tnzysqz9","2612","0"
"x1tuva9o","2663","0"
"k6mx0v4r","2662","0"
"5rsyi935","2213","0"
"wmcbxg3l","2898","0"
"pufotv30","3252","0"
"s06uazzk","10872","0"
"ylo72czo","10798","0"
"0b0wu0jf","10842","0"
"huuij6rl","10771","0"
"88x660vs","7444","0"
"gibqh01h","733","0"
"uhjbgp9w","733","0"
"j8j0v3zu","4193","0"
"f6ngv0ng","1384","0"
"9z291ptj","2746","0"
"uqjm4tlw","4152","0"
"tsugbyyg","4151","0"
"kjmihv45","4152","0"
"blgzxdw4","4130","0"
"6dgvi52f","4152","0"
"vjogjkzo","8170","0"
"2sdf6soi","5776","0"
"o8rh849e","2751","0"
"tldy3pd8","2601","0"
"69tmyu2p","2621","0"
"ou7xods7","2753","0"
"6y5dg7km","9034","0"
"83gxgryf","4938","0"
"rozaubpw","1537","0"
"ge4a9zt6","4955","0"
"1zwxbsi4","2603","0"
"793jpcdp","9010","0"
"5h4el0j7","1531","0"
"6f6ufjel","4963","0"
"kh2t2v21","9038","0"
"r8ustu6w","3437","0"
"hbe0q3ch","3438","0"
"wqns39zj","3438","0"
"t8yvw5sp","3463","0"
"a9ofmifi","2649","0"
"035i5xi3","2830","0"
"oqgdpm8e","2832","0"
"4lfvdxbp","9953","0"
"7bha7fs9","9953","0"
"jxdbyrar","9965","0"
"bc1sd7b9","2748","0"
"1ets4fgq","2751","0"
"ti2e6xof","2749","0"
"r9zl43rr","2748","0"
"hwnvgcan","2748","0"
"itjk6ql7","2751","0"
"582anul2","6633","0"
"4cpurv0u","6646","0"
"cabyrx28","2782","0"
"8u0mftka","2814","0"
"vfw4jl3x","1685","0"
"r2ywojt5","1118","0"
"8r8hnhoe","2714","0"
"h8qkv8yr","2768","0"
"ovkzeixf","10088","0"
"smz69rs5","10081","0"
"6f1bavug","10081","0"
"x62qequ7","10081","0"
"6fvnzx2l","10081","0"
"fad5lokw","10081","0"
"4c24pit8","2753","0"
"hop74i3l","2690","0"
"2o9i6d6f","9376","0"
"trqi0lgh","9346","0"
"h0jhbspc","9346","0"
"zrnl0ftw","2786","0"
"aq2fzidg","2824","0"
"i9cdjrup","5881","0"
"8wm3d7ou","5880","0"
"8ry5zzi5","5881","0"
"58wzqm14","5870","0"
"wjt53pbc","5875","0"
"io1ofn55","5878","0"
"zbiaec4e","5899","0"
"nrgjzv2f","5880","0"
"pnuzoj3u","5880","0"
"q1ji3zav","2657","0"
"9z60bk9k","2692","0"
"7kd7u6jx","3420","0"
"e5lz6r5m","2744","0"
"1ly0yxm4","2593","0"
"uvwpsx2g","2612","0"
"gdouax02","6775","0"
"fynbtwhf","1365","0"
"q0yxf5la","2828","0"
"riv88z08","2784","0"
"4fbvv9iq","2828","0"
"47xf2gd5","2827","0"
"bf91hhgx","10448","0"
"asuja88f","10429","0"
"fjj9ugeo","13725","0"
"fspo85xd","13720","0"
"hyad8ztq","2646","0"
"r5qleym7","5534","0"
"1w4mm6xq","2773","0"
"b98bmly5","2711","0"
"bc12l1v6","2755","0"
"y7e37kke","2737","0"
"xavwlu1u","9652","0"
"aykdasdu","9624","0"
"v59uwgcv","9651","0"
"v4trq0ha","9641","0"
"d96jpu7m","1022","0"
"xt84bsma","8146","0"
"4pjxpcf7","3879","0"
"ow09fq75","2739","0"
"a4o62bj9","9214","0"
"gvnti5ho","5862","0"
"2gh5cc7z","7622","0"
"zl7pia3r","5853","0"
"4schcpjy","2831","0"
"4mlqvkpr","2491","0"
"agva55os","2654","0"
"laniid7j","4136","0"
"9wrghm76","4132","0"
"pnsc303m","4136","0"
"lzmmv6rg","687","0"
"1u34mk0r","2807","0"
"xhy7bnnw","4258","0"
"k68b9hsf","4258","0"
"isssj6g3","4258","0"
"woa97sug","4258","0"
"o3rf1a9y","4258","0"
"qql11e1d","6206","0"
"cdjevsl5","2807","0"
"qt3ifzk2","2602","0"
"brpqricy","2594","0"
"sps5q0l0","4730","0"
"b8ndbbj5","7045","0"
"se3of3o8","2603","0"
"jlnhnl0h","2589","0"
"0k0pkhi0","4148","0"
"ljinkn3k","6423","0"
"xxcylfgk","2742","0"
"yiqmqz2g","2627","0"
"0qivxhbv","2572","0"
"nlx3e8jf","9555","0"
"zbhz6aiw","1340","0"
"ofmbyqar","2740","0"
"w3tqrmgj","2735","0"
"ct7acjfd","1449","0"
"6l8e4h7t","3876","0"
"a0adp2xr","2675","0"
"kicfym3o","2656","0"
"85pkfbsj","2716","0"
"nk1enugr","2586","0"
"wvf7rkzs","2611","0"
"zf9m8qv3","388","0"
"fmu9b8k1","2736","0"
"gds6e44o","2719","0"
"4nad7vbz","2683","0"
"ajubjd4v","2739","0"
"p818ayqd","2719","0"
"h9et9upc","2736","0"
"8yk9abwj","2737","0"
"ep6kpcy0","2718","0"
"hb1sgg86","2704","0"
"vwrewj2m","2738","0"
"uiucst16","2704","0"
"tu8b92tx","2737","0"
"wmpw4k9p","2707","0"
"to3ueqah","2739","0"
"nqaq9hie","2736","0"
"10kn964v","2701","0"
"aanum0g4","2737","0"
"4lo63oi7","2719","0"
"16x9we0k","2638","0"
"c2tq2yh3","2607","0"
"qt3rhwo1","1350","0"
"d603crge","1584","0"
"kh8461bv","1536","0"
"lmd9an6y","2753","0"
"ea09os0z","6483","0"
"w5m5xpr2","6482","0"
"qg6qql1a","2760","0"
"9fltmbcc","2760","0"
"qnjfh8tl","2759","0"
"yizyaqul","2759","0"
"xe9w9uco","2759","0"
"urtvmdff","2759","0"
